No,S,Arith,Reading,Dictation,Exercise,Havanat,Analogy,Arithmetic Operations,Baloon Counting,Chose the form,Click the …,Count and numbers,Faces,Incomplete shadow,Magic Circle,More or less,Remember location,Set order,Triangles,R4s
1,89,28,79,8,54,61,15,46,81,9,76,55,77,28,82,34,53,71,17,1
2,94,16,76,22,66,98,83,45,10,98,52,65,19,81,1,12,100,91,55,2
1,10,70,16,70,51,53,26,89,80,97,33,23,92,6,42,100,12,16,89,1
1,27,43,80,71,25,89,45,62,52,4,87,52,43,76,9,58,91,79,81,2
1,85,48,60,1,97,91,52,41,71,42,43,88,67,30,62,91,74,51,75,2
2,38,90,63,63,25,67,74,17,18,85,46,13,11,64,60,68,35,69,8,1
1,47,38,62,48,29,31,58,85,34,68,69,63,79,90,63,80,39,34,99,2
2,37,15,71,70,26,97,47,73,87,50,4,14,26,54,72,55,84,88,32,1
2,97,83,57,27,82,56,84,38,47,74,84,12,23,98,78,45,3,52,86,2
2,57,21,27,72,18,25,42,83,42,6,26,57,86,77,29,88,88,58,56,1
2,33,0,41,2,29,30,92,57,36,56,72,89,65,99,56,30,79,19,26,1
1,2,88,15,1,42,34,61,11,6,2,47,23,16,37,96,12,20,7,58,1
1,37,82,20,15,77,95,88,48,94,81,47,17,88,67,2,43,52,93,65,2
2,57,90,7,21,78,56,8,98,92,86,87,20,90,28,3,93,86,45,9,2
2,64,71,89,84,20,68,61,82,63,85,4,24,4,30,17,75,11,80,55,1
